cap,color,drive,fuel,km,make,model,power,price,trans,year
1998cm3,Biały,Natylnekoła,Benzyna,44000km,Mazda,MX5,160KM,105000,Manualna,2017
3246cm3,Innykolor,Natylnekoła,Benzyna,123521km,BMW,M3,343KM,139000,Automatyczna,2004
1998cm3,Czarny,Naprzedniekoła,BenzynaLPG,314000km,Opel,Astra,170KM,15200,Manualna,2006
1595cm3,Niebieski,Naprzedniekoła,Benzyna,172000km,Volkswagen,Golf,72KM,24500,Manualna,1988
2435cm3,Srebrny,Naprzedniekoła,Benzyna,148000km,Volvo,C70,170KM,11900,Automatyczna,2006
4951cm3,Szary,Natylnekoła,Benzyna,8618km,Ford,Mustang,421KM,279000,Automatyczna,2017
1997cm3,Zielony,Naprzedniekoła,Benzyna,173000km,Peugeot,307CC,138KM,11999,Manualna,2004
1597cm3,Zielony,Natylnekoła,Benzyna,180000km,Mazda,MX5,110KM,16490,Manualna,1999
2521cm3,Innykolor,Naprzedniekoła,Benzyna,165000km,Volvo,C70,230KM,51000,Automatyczna,2012
2480cm3,Żółty,,Benzyna,40000km,Porsche,Boxster,204KM,79900,Automatyczna,1997
2706cm3,Biały,Natylnekoła,Benzyna,77530km,Porsche,Boxster,265KM,235000,Automatyczna,2012
1587cm3,Czarny,Naprzedniekoła,BenzynaLPG,176000km,Peugeot,207CC,120KM,16500,Manualna,2008
1984cm3,Szary,Naprzedniekoła,Benzyna,73000km,Volkswagen,Eos,150KM,22900,Manualna,2007
1796cm3,Złoty,Naprzedniekoła,Benzyna,189000km,Opel,Astra,140KM,19900,Automatyczna,2006
1781cm3,Srebrny,Naprzedniekoła,BenzynaLPG,188000km,Audi,A4,163KM,21000,Manualna,2004
1795cm3,Czarny,Natylnekoła,Benzyna,146000km,MercedesBenz,SLK,163KM,31900,Automatyczna,2004
875cm3,Czarny,Naprzedniekoła,Benzyna,80000km,Fiat,500,85KM,34900,Manualna,2014
2793cm3,Srebrny,Natylnekoła,Benzyna,134000km,BMW,Z3,192KM,55900,Automatyczna,2001
1499cm3,Czarny,4x4dołączanyautomatycznie,Hybryda,21000km,BMW,i8,231KM,359000,Automatyczna,2019
4973cm3,Złoty,Natylnekoła,Benzyna,160000km,MercedesBenz,SL,307KM,76000,Automatyczna,1999
2435cm3,Innykolor,Naprzedniekoła,Benzyna,225000km,Volvo,C70,170KM,34900,Automatyczna,2006
4663cm3,Biały,Natylnekoła,Benzyna,46000km,MercedesBenz,KlasaS,455KM,587700,Automatyczna,2016
2981cm3,Czarny,Natylnekoła,Benzyna,18350km,Porsche,911,420KM,490000,Automatyczna,2017
1995cm3,Innykolor,Natylnekoła,Diesel,163300km,BMW,Seria3,184KM,60900,Automatyczna,2011
1984cm3,Biały,4x4dołączanyautomatycznie,Benzyna,6000km,Audi,A5,265KM,159000,Automatyczna,2019
6162cm3,Srebrny,Natylnekoła,Benzyna,67000km,Chevrolet,Camaro,453KM,149000,Automatyczna,2017
1598cm3,Innykolor,Naprzedniekoła,Benzyna,,Peugeot,207CC,150KM,23500,Manualna,2009
1781cm3,Czarny,,Benzyna,206000km,Audi,A4,163KM,29900,Manualna,2006
3246cm3,Innykolor,Natylnekoła,Benzyna,136000km,BMW,M3,343KM,165000,Automatyczna,2006
3726cm3,Innykolor,Natylnekoła,Benzyna,140000km,Ford,Mustang,300KM,87900,Automatyczna,2014
1997cm3,Czarny,Naprzedniekoła,Benzyna,130000km,Peugeot,206CC,138KM,7999,Manualna,2002
1968cm3,Srebrny,,Diesel,260000km,Audi,A4,140KM,15900,Manualna,2006
2687cm3,Czarny,,Benzyna,113600km,Porsche,Boxster,245KM,99000,Manualna,2008
1364cm3,Szary,Naprzedniekoła,Benzyna,76000km,Opel,Cascada,140KM,59500,Manualna,2017
5000cm3,Czarny,4x4dołączanyautomatycznie,Benzyna,71000km,Jaguar,FType,575KM,297660,Automatyczna,2017
4973cm3,Biały,Natylnekoła,Benzyna,145000km,MercedesBenz,SL,326KM,80000,Automatyczna,1991
2480cm3,Czerwony,Natylnekoła,Benzyna,187414km,Porsche,Boxster,204KM,53999,Automatyczna,1999
1968cm3,Innykolor,Naprzedniekoła,Diesel,,Volkswagen,Eos,140KM,43600,Automatyczna,2013
1796cm3,Srebrny,Naprzedniekoła,Benzyna,207000km,Opel,Astra,140KM,16500,Manualna,2007
1598cm3,Beżowy,Naprzedniekoła,Benzyna,189866km,MINI,Cooper,115KM,31900,Manualna,2007
1598cm3,Brązowy,Naprzedniekoła,Benzyna,,Opel,Cascada,200KM,76900,Automatyczna,2017
1998cm3,Srebrny,,Benzyna,70000km,Mazda,MX5,160KM,99000,Automatyczna,2017
1995cm3,Innykolor,Natylnekoła,Diesel,105147km,BMW,Seria4,163KM,73900,Manualna,2014
4973cm3,Czarny,Natylnekoła,Benzyna,160000km,MercedesBenz,SL,326KM,59500,Automatyczna,1991
1598cm3,Czarny,,Benzyna,222500km,Opel,Astra,105KM,18999,Manualna,2008
1796cm3,Niebieski,Naprzedniekoła,Benzyna,142000km,Opel,Tigra,125KM,15500,Manualna,2005
2996cm3,Srebrny,Natylnekoła,BenzynaLPG,145000km,BMW,Seria3,230KM,63500,Automatyczna,2011
1796cm3,Biały,,Benzyna,134000km,MercedesBenz,SLK,204KM,99000,Automatyczna,2013
5547cm3,Czerwony,,Benzyna,179000km,MercedesBenz,SL,242KM,109999,Automatyczna,1985
1499cm3,Czerwony,,Benzyna,176502km,Mitsubishi,Colt,109KM,12999,Manualna,2007
5038cm3,Żółty,Natylnekoła,Benzyna,39000km,Ford,Mustang,450KM,213999,Automatyczna,2019
1598cm3,Biały,,Benzyna,129950km,Citroën,DS3,120KM,32900,Manualna,2013
2799cm3,Czarny,Natylnekoła,Benzyna,177000km,MercedesBenz,SL,193KM,21000,Automatyczna,1995
875cm3,Szary,,Benzyna,141857km,Fiat,500,85KM,24600,Manualna,2011
1598cm3,Innykolor,Naprzedniekoła,Benzyna,217473km,Peugeot,207CC,150KM,18499,Manualna,2008
2290cm3,Srebrny,Naprzedniekoła,Benzyna,222239km,Saab,900,150KM,13700,Manualna,1994
5461cm3,Niebieski,Natylnekoła,Benzyna,115000km,MercedesBenz,SL,387KM,100000,Automatyczna,2008
4973cm3,Innykolor,Natylnekoła,Benzyna,125225km,MercedesBenz,SL,320KM,87000,Automatyczna,1997
1968cm3,Czarny,4x4stały,Diesel,169000km,Audi,A5,177KM,79777,Manualna,2013
4395cm3,Czarny,Natylnekoła,Benzyna,141000km,BMW,Seria6,450KM,176000,Automatyczna,2015
3498cm3,Niebieski,Natylnekoła,Benzyna,26500km,MercedesBenz,KlasaE,333KM,199000,Automatyczna,2016
4395cm3,Srebrny,Natylnekoła,Benzyna,90351km,BMW,Seria6,450KM,131000,Automatyczna,2012
5461cm3,Innykolor,Natylnekoła,Benzyna,65000km,MercedesBenz,SL,564KM,269000,Automatyczna,2014
1998cm3,Niebieski,Natylnekoła,Benzyna,150566km,MercedesBenz,SLK,136KM,29900,Manualna,1997
3600cm3,Biały,Natylnekoła,Benzyna,295000km,Porsche,911,250KM,185000,Manualna,1984
2967cm3,Czarny,4x4stały,Diesel,304000km,Audi,A5,240KM,51500,Automatyczna,2010
2993cm3,Czarny,Natylnekoła,Diesel,275000km,BMW,Seria3,197KM,48900,Automatyczna,2008
1598cm3,Srebrny,Natylnekoła,Benzyna,124796km,Mazda,MX5,110KM,22900,Manualna,2002
2987cm3,Czarny,Natylnekoła,Diesel,133000km,MercedesBenz,CLK,224KM,26000,Manualna,2008
1995cm3,Czarny,Natylnekoła,Benzyna,212257km,BMW,Seria3,143KM,26900,Manualna,2002
2993cm3,Czarny,4x4stały,Benzyna,1550km,BMW,M4,510KM,579900,Automatyczna,2021
1598cm3,Czarny,,Benzyna,172000km,Peugeot,308CC,150KM,24900,Manualna,2010
4966cm3,Czarny,Natylnekoła,Benzyna,123000km,MercedesBenz,SL,306KM,109900,Automatyczna,2001
5461cm3,Szary,,Benzyna,41500km,MercedesBenz,SL,564KM,419000,Automatyczna,2013
